Dataset Alias,Dataset Name,Mode,Description,Entity,State,Geographic area,How acquired,Last updated,Record Count,Field Count,Info URL,REST URL,Socrata URL,Download URL
Maryland Bicycle Routes,Bicycle Routes (Road-Separated),bike,"This version contains Road-Separated Bike Routes AND the connectors to the road network.“Road Separated” indicates that these segments are physically separated from roads in which motorized vehicles travel. That is, these are not bike lanes, sharrows, or signed bike routes per se – these segments are separated from the main road by a physical barrier (E.g., grass, natural earth, trees, etc.) and in many instances do not follow a motorized vehicle route network at all (E.g., a wholly separated trail). This information in this web map will be used in conjunction with the One Maryland One Centerline (OMOC) initiative to provide a Level of Traffic Stress (LTS) map for the State of Maryland. The recommended LTS score for each road-separated bicycle route is listed in the pop-up menu.Bikeways included in the map are of varying surface material but are typically paved or hard-packed surface.  Sidewalks, typically 6-feet-wide, hard surface pathways primarily for pedestrian use, are not included in this map. The preferred width of bikeways included is at least 10-feet wide, although bikeways may be narrower if anticipated traffic volumes are minimal. For instance, while most pathways within Columbia are 8 to 10 feet wide, some pathways are narrower when connecting to cul-du-sacs.  These narrower pathways are included in the map as the anticipated traffic volume are low enough to minimize user conflict. The feature class used in the web map was compiled by the Maryland Department of Transportation (Secretary’s Office) using a variety of sources including (but not limited to) state data sources from various agencies including the Maryland Department of Transportation (MDOT), Maryland Department of Planning (MDP), and Maryland Department of Natural Resources (DNR). Data has also been augmented by counties and municipalities throughout the State of Maryland as well as several agencies, organizations, and conservancies. Certain named trails are included within this dataset and their sources have varied from state, local, and non-profits as well as through the digitizing of various aerial/satellite imagery, digital elevation models (DEM), right-of-ways, former railways, and corridors by MDOT staff. None of the alignments included in this dataset are restricted to private use.The searchable data includes attribute information containing the route’s name (if applicable), calculated segment length (using the Maryland State Plane 1983 Projection), and Level of Traffic Stress (LTS) score. The data mostly contains alignment segments with a LTS of 0, the lowest score. This score indicates that the bikeway can be comfortably used by cyclists of all levels and experience and has minimal automobile traffic interaction. There are several segments with LTS scores of 1 or 2 within this feature class as well, but these are mostly connector paths/trails between larger segments. LTS scores of 1 or 2 indicate very little automobile traffic and/or slower speeds required for the automobile traffic.ATTRIBUTES:Route Name (if Applicable): The name of the route is provided if the route is namedCounties within Route: The counties in Maryland through which the route passes are listedRoute's Length: The route distance is calculated and listed in miles. Note that this is the length of the entire named route - and not just the segment selected. Distance calculated using the NAD 1983 StatePlane Maryland FIPS 1900 (US Feet) Projection.LTS Score: Level of Traffic Stress. For this map (road-separated routes) the scores range from 0 (road-separated) to 2 (generally low traffic). The areas that are not 0 in this map/data represent portions of the road-separated routes that cross streets or have portions that are briefly on-road as connections. ",MDOT,MD,Maryland,Open data,2025,767,10,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-routes-road-separated/about,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/Maryland_Road_Separated_Bike_Routes_(View_Layer)/FeatureServer/52,,
Maryland Bicycle LTS,Bicycle Level of Traffic Stress (LTS),bike,,MDOT,MD,Maryland,Open data,2024,144917,24,https://data-maryland.opendata.arcgis.com/datasets/maryland::maryland-bicycle-level-of-traffic-stress-lts/about,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/Maryland_Bicycle_Level_of_Traffic_Stress_(LTS)_view/FeatureServer/0,,
Maryland Road Separated Connectors,Road_Separated_Connectors,bike,,MDOT,MD,Maryland,Open data,2024,1219,8,https://data-maryland.opendata.arcgis.com/datasets/maryland::road-separated-connectors/about,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/Road_Separated_Connectors/FeatureServer/0,,
Minnesota Bikeways,Bikeways,bike,"The hosted feature layer is intended for use in a map put together to inform usersâ€™ bicycling decisions related to route planning, or urban planning and civil engineering activities. Data will be reviewed and updated at least every other year in accordance withÂ <a href=""https://www.revisor.mn.gov/statutes/cite/160.262"" target=""_blank"">Minnesota State Statute 160.262</a>. See theÂ <a href=""https://mndot.maps.arcgis.com/apps/webappviewer/index.html?id=23f7fa312f8044b4ac05a6bbd86f1ca4"" target=""_blank"">Minnesota Bikeways application</a>Â to view data.<div><br /></div><div>Please contactÂ <a href=""mailto:bicyclemap.dot@state.mn.us"" target=""_blank"">bicyclemap.dot@state.mn.us</a>Â for questions, comments, etc. For more information about MnDOT's bikeways please visit us at thisÂ <a href=""https://www.dot.state.mn.us/bike/"" target=""_blank"">link</a>.</div><div><br /></div><div>Feedback can be directed toÂ <a href=""mailto:sandra.yassin@state.mn.us"" target=""_blank"">Sandra Yassin</a>Â at MnDOT's Office of Transportation System Management orÂ <a href=""mailto:michael.petesch@state.mn.us"" target=""_blank"">Michael Petesch</a>Â at MnDOT's Office of Transit and Active Transportation.</div>",MNDOT,MN,Minnesota,Open Data,2025,46735,40,https://mndot.maps.arcgis.com/home/item.html?id=e49f8015e1ef4ae29b5616cae01cb6bc,https://services.arcgis.com/qWbGMYB49y8mLbRt/ArcGIS/rest/services/MN_Bikeways_and_Trails_(View_Layer)/FeatureServer/0,,
MnDOT Pedestrian Curb Ramp and Signal Button Inspections 2024,Pedestrian Location Inventory,pedestrian,"Pedestrian locations in this inventory are categorized into one of the following categories:<div><ul><li>Intersection corners</li><li>Intersection medians</li><li>Intersection pork chops</li><li>Mid-block crossing points (one ped location record on each side of the street)</li><li>Outer roundabout pedestrian crossing points</li></ul><div>The inventory also stores jurisdictional information such as MnDOT district, Minnesota county &amp; municipality, and nearest primary and secondary routes (calculated automatically at the point of collection using geometric expressions).</div></div><div><br /></div><div>This inventory also includes attributes concerning compliance of each location's components - curb ramps and APS systems - which determine the overall compliance of each ped location.Â  However these values aren't yet calculated automatically (since location records are generally entered <i>before </i>any inspections have been completed), so the plan is to periodically calculate ped location compliance at regular intervals (similar to how sidewalk line ADA compliance is periodically calculated from their component 25' increments).Â </div>",MNDOT,MN,Minnesota,Open Data,2025,693,23,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/2024_Curb_Ramp_and_Ped_Signal_Inspections_Public_View/FeatureServer/0,,
MnDOT Pedestrian Curb Ramps,Pedestrian Curb Ramps,pedestrian,"<div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">For more information on MnDOT's ADA policies and procedures, please refer to this site:Â <a href=""https://www.dot.state.mn.us/ada/index.html"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">MnDOT Accessibility (state.mn.us)</a></div><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">If you have specific questions regarding ADA/pedestrian infrastructure planning &amp; policies, please contact Kristie Billiar (<a href=""mailto:kristie.billiar@state.mn.us"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">kristie.billiar@state.mn.us</a>).</div><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">If you have specific questions regarding pedestrian infrastructure data and analysis, please contact Galen Sjostrom (<a href=""mailto:galen.sjostrom@state.mn.us"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">galen.sjostrom@state.mn.us</a>).Â </div>",MNDOT,MN,Minnesota,Open Data,2025,28702,41,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Curb_Ramps_and_Signals_2023_and_Earlier/FeatureServer/1,,
MnDOT Traffic Intersections,Traffic Intersections,other,"<div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">For more information on MnDOT's ADA policies and procedures, please refer to this site:Â <a href=""https://www.dot.state.mn.us/ada/index.html"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">MnDOT Accessibility (state.mn.us)</a></div><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">If you have specific questions regarding ADA/pedestrian infrastructure planning &amp; policies, please contact Kristie Billiar (<a href=""mailto:kristie.billiar@state.mn.us"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">kristie.billiar@state.mn.us</a>).</div><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">If you have specific questions regarding pedestrian infrastructure data and analysis, please contact Galen Sjostrom (<a href=""mailto:galen.sjostrom@state.mn.us"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">galen.sjostrom@state.mn.us</a>).Â </div>",MNDOT,MN,Minnesota,Open Data,2025,5951,14,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Curb_Ramps_and_Signals_2023_and_Earlier/FeatureServer/0,,
MnDOT Pedestrian Crossing Signal Buttons,Pedestrian Crossing Signal Buttons,pedestrian,"<div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">For more information on MnDOT's ADA policies and procedures, please refer to this site:Â <a href=""https://www.dot.state.mn.us/ada/index.html"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">MnDOT Accessibility (state.mn.us)</a></div><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">If you have specific questions regarding ADA/pedestrian infrastructure planning &amp; policies, please contact Kristie Billiar (<a href=""mailto:kristie.billiar@state.mn.us"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">kristie.billiar@state.mn.us</a>).</div><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">If you have specific questions regarding pedestrian infrastructure data and analysis, please contact Galen Sjostrom (<a href=""mailto:galen.sjostrom@state.mn.us"" style=""color:rgb(0, 121, 193); text-decoration-line:none; font-family:inherit;"" target=""_blank"">galen.sjostrom@state.mn.us</a>).Â </div>",MNDOT,MN,Minnesota,Open Data,2025,6451,31,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Curb_Ramps_and_Signals_2023_and_Earlier/FeatureServer/2,,
MnDOT Cross Slopes,Sidewalk/Pedestrian Access Route (PAR) Inventory,pedestrian,"<div><span style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;"">The PAR inventory lines are categorized into the following types:</span><div style=""font-family:&quot;Avenir Next W01&quot;, &quot;Avenir Next W00&quot;, &quot;Avenir Next&quot;, Avenir, &quot;Helvetica Neue&quot;, sans-serif; font-size:16px;""><ul><li>Typical Sidewalk</li><li>Driveway - Residential</li><li>Driveway - Commercial</li><li>Driveway - Alley</li><li>Driveway - Other/TBC</li><li>Roadway Crossing</li><li>Shared-Use Path (Bike &amp; Pedestrian)</li><li>Bike-Only Facility</li><li>Pedestrian &amp; Bike Bridge</li><li>Pedestrian Bridge Approach - Stairs</li><li>Pedestrian Bridge Approach - Ramp</li><li>Pedestrian Bridge Approach - At Grade</li><li>Railway Crossing</li><li>Walkable Shoulder</li></ul><div>Each record (if complete) includes relevant MnDOT district, county, and municipality information as well as the PAR's prevailing width, material types, boulevard presence, and a number of category-specific attributes (such as crossing marking type, bridge barrier type and height, etc).</div></div></div>",MNDOT,MN,Minnesota,Open Data,2025,31691,45,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Sidewalk_and_Bus_Stop_Inventories_and_Inspections_Public_View/FeatureServer/0,,
MnDOT Bus Stop Inspections,Bus Stop Inspections,transit,Bus stop inspections are recorded at the following locations (if present):<div><ul><li>In 25' increments along a bus stop's boarding area</li><li>At the bus stop's bench</li><li>On the stop's concrete pad (for rural stops not connected to pedestrian walkways)</li><li>At any obstructions encountered at or near the bus stop.</li></ul></div>,MNDOT,MN,Minnesota,Open Data,2025,16,14,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Sidewalk_and_Bus_Stop_Inventories_and_Inspections_Public_View/FeatureServer/1,,
MnDOT Bust Stop Inventory,Bus Stop Inventory,transit,"Each bus stop record is recorded as a point and is categorized as either a sign-only stop, a stop with a bench, or a stop with a shelter.Â  The location of each stop is recorded at the sign's location, even if the stop in question also includes a bench and/or a shelter.Â  The locations of those specific bus stop components (and their condition) are recorded as related records in the busÂ <a href=""https://mndot.maps.arcgis.com/home/item.html?id=58234b0a58bd4b8facb8f19e2eaf7262&amp;sublayer=1"" target=""_blank"">stop inspections layer</a>.Â ",MNDOT,MN,Minnesota,Open Data,2025,538,23,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Sidewalk_and_Bus_Stop_Inventories_and_Inspections_Public_View/FeatureServer/2,,
MnDOT Sidewalk Obstructions,"Pedestrian Walkway Inspections, Obstructions, Etc.",pedestrian,"Each pedestrian access route inspection point is recorded in roughly 25-foot intervals along the full length of any pedestrian walkway.Â  At each location, running and cross slope measurements are taken and assessment of the walkway condition at that location is provided.<div><br /></div><div>Pedestrian route obstruction locations are recorded and placed into one of the following categories:</div><div><ul><li>Broken or cracked pavement</li><li>Heaved, sunken, twisted, or separated pavement</li><li>Above-ground utility object</li><li>In-ground utility object</li><li>Sign(s)</li><li>Light Post</li><li>Traffic signal or APS pole</li><li>Bridge expansion joint or seam</li><li>Natural growth obstruction</li><li>Steps/stairs</li><li>Street furniture</li><li>Curb construction</li><li>Other</li></ul></div>",MNDOT,MN,Minnesota,Open Data,2025,190903,32,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,https://services.arcgis.com/qWbGMYB49y8mLbRt/arcgis/rest/services/Sidewalk_and_Bus_Stop_Inventories_and_Inspections_Public_View/FeatureServer/3,,
Dublin Sidewalks,Sidewalks,pedestrian,"This sidewalk dataset is a comprehensive transportation network of over 221,000 features representing existing sidewalks, existing crosswalks (marked/unmarked), and sidewalk gaps and matches the cardinality of unique Location-Based Reference System (LBRS) road centerline databases for Franklin, Delaware, Fairfield, and Licking Counties in Ohio. All data was digitized in Esri ArcGIS 10.2.1 software in the Ohio South State Plane (NAD 83), feet projection. This sidewalk inventory is intended for planning purposes only. TranSystems does not warrant the accurateness of the sidewalks or crosswalks depiected in this dataset. None of the sidewalk or crosswalk segments have been field verified. Every reasonable effort has been made to reflect the correct GIS segmentation of all sidewalks, crosswalks, and sidewalk gaps.MORPC will facilitate the maintenance of this data by engaging local governments.",City of Dublin,OH,"Dublin, OH",Open Data,2025,14566,41,https://ohiogide-geohio.opendata.arcgis.com/datasets/DublinOhio::sidewalks-2/about,https://services1.arcgis.com/NqY8dnPSEdMJhuRw/arcgis/rest/services/Sidewalks/FeatureServer/22,,
Dublin Crosswalks,Crosswalks,pedestrian,,City of Dublin,OH,"Dublin, OH",Open Data,2024,893,28,,https://services1.arcgis.com/NqY8dnPSEdMJhuRw/ArcGIS/rest/services/Crosswalks/FeatureServer/0,,
Dublin Bikeways,Bikeways,bike,,City of Dublin,OH,"Dublin, OH",Open Data,2025,2168,28,https://ohiogide-geohio.opendata.arcgis.com/datasets/DublinOhio::bikeways/about,https://services1.arcgis.com/NqY8dnPSEdMJhuRw/arcgis/rest/services/Bikeways/FeatureServer/1,,
Dublin Bikeracks,Bike Racks,bike,,City of Dublin,OH,"Dublin, OH",Open Data,2022,133,11,,https://services1.arcgis.com/NqY8dnPSEdMJhuRw/ArcGIS/rest/services/Bike_Racks_Public/FeatureServer/0,,
Dublin Bike Fix-It Stations,Bike Fix-It Stations,bike,,City of Dublin,OH,"Dublin, OH",Open Data,2025,7,21,,https://services1.arcgis.com/NqY8dnPSEdMJhuRw/ArcGIS/rest/services/Bike_Fix-It_Stations/FeatureServer/0,,
Columbus Sidewalks,Sidewalks,pedestrian,"This sidewalk dataset is a comprehensive transportation network of over 221,000 features representing existing sidewalks, existing crosswalks (marked/unmarked), and sidewalk gaps and matches the cardinality of unique Location-Based Reference System (LBRS) road centerline databases for Franklin, Delaware, Fairfield, and Licking Counties in Ohio. All data was digitized in Esri ArcGIS 10.2.1 software in the Ohio South State Plane (NAD 83), feet projection. This sidewalk inventory is intended for planning purposes only. TranSystems does not warrant the accurateness of the sidewalks or crosswalks depiected in this dataset. None of the sidewalk or crosswalk segments have been field verified. Every reasonable effort has been made to reflect the correct GIS segmentation of all sidewalks, crosswalks, and sidewalk gaps.MORPC will facilitate the maintenance of this data by engaging local governments.",City of Columbus,OH,"Dublin, OH",Open Data,,257099,18,https://opendata.columbus.gov/datasets/central-ohio-sidewalks/about,https://maps2.columbus.gov/arcgis/rest/services/Schemas/RegionalLayers/MapServer/3,,
Columbus Bikeways,Bikeways,bike,,City of Columbus,OH,"Dublin, OH",Open Data,,7958,41,https://opendata.columbus.gov/datasets/columbus::central-ohio-bikeways/about,https://maps2.columbus.gov/arcgis/rest/services/Schemas/RegionalLayers/MapServer/2,,
Ohio State Curb Ramp Inventory,"Active, State Maintained Curb Ramp Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,6630,59,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/0,,
Ohio State Crosswalks,"Active, State Maintained Crosswalk Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,1569,33,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/2,,
Ohio State Pushbuttons,"Active, State Maintained Pushbutton Structure Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,1535,44,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/3,,
Ohio State Refuge Islands,"Active, State Maintained Refuge Island Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,102,39,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/4,,
Ohio Non-State Curb Ramp Inventory,"Active, Non-State Maintained Curb Ramp Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,20225,59,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/12,,
Ohio Non-State Sidewalk Inventory,"Active, Non-State Maintained Sidewalk Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,685,40,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/13,,
Ohio Non-State Crosswalk Inventory,"Active, Non-State Maintained Crosswalk Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,1205,33,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/14,,
Ohio Non-State Pushbuttons,"Active, Non-State Maintained Pushbutton Structure Inventory",pedestrian,,Ohio DOT,OH,Ohio,Open Data,,266,44,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://collectorweb.dot.state.oh.us/arcgis/rest/services/ADAROW/ADA_ROW_INVENTORY_VIEWER_WEBAPP/FeatureServer/16,,
Ohio State and US Bike Routes,State and US Bike Routes,bike,"Ohio's State and US Bike Route System. Update frequency: As needed. For more information, visit: www.walk.ohio.gov",Ohio DOT,OH,Ohio,Open Data,2024,9738,30,https://tims.dot.state.oh.us/tims/map/sid/vP9GDx,https://services1.arcgis.com/1AlElnGrgBM62OSj/ArcGIS/rest/services/State_and_US_Bike_Routes/FeatureServer/1,,
San Antonio Bicycle Facilities,BikeFacilities2019,bike,,Alamo Area Metropolitian Planning Organization,TX,San Antonio,Open Data,2023,398,19,https://aampo-openmap-nexus-mpo.hub.arcgis.com/maps/594c764d24064568977a09954c64f579/about,https://services1.arcgis.com/ZmHtsY5M3DRYt09u/ArcGIS/rest/services/Bike_Facilities_Update_gdb/FeatureServer/0,,
San Antonio LTS Map,Bicycle Level of Traffic Stress,bike,,Alamo Area Metropolitian Planning Organization,TX,San Antonio,Open Data,2016,7471,15,https://aampo-openmap-nexus-mpo.hub.arcgis.com/datasets/11f6259c619e4aa684b44b3b03efdbf8_3/about,https://maps.alamoareampo.org/arcgis/rest/services/MPO/bike/MapServer/3,,
TxDOT Bicycle Inventory Lines,2019 Bicycle Inventory Lines,bike,,TxDOT,TX,Texas,Open Data,2023,520,40,https://gis-txdot.opendata.arcgis.com/maps/ed3c4db30d7b4e3bb29c33960904305b/about,https://services.arcgis.com/KTcxiTD9dsQw4r7Z/ArcGIS/rest/services/2019_Bicycle_Inventory_WFL1/FeatureServer/1,,
TxDOT Bicycle Inventory Points,2019 Bicycle Inventory Points,bike,,TxDOT,TX,Texas,Open Data,2023,2210,23,https://gis-txdot.opendata.arcgis.com/maps/ed3c4db30d7b4e3bb29c33960904305b/about,https://services.arcgis.com/KTcxiTD9dsQw4r7Z/ArcGIS/rest/services/2019_Bicycle_Inventory_WFL1/FeatureServer/0,,
Houston Proposed & Existing Bikeways,Bikeways Existing LC,bike,"Final Houston Bike Plan data, for City Council consideration. Updated: 12/14/2021",City of Houston,TX,Houston,Open Data,,6797,20,https://cohgis-mycity.opendata.arcgis.com/datasets/MyCity::coh-bikeways-existing-lc-1/about,https://mycity2.houstontx.gov/pubgis02/rest/services/HoustonMap/Transportation/MapServer/6,,
Dallas Trails and Bikeways,All Existing Facilities (For Open Data),bike,Live/development layer for NCTCOG's efforts to map existing bicycle-pedestrian facilities across North Central Texas. Intended for consumption on NCTCOG's Regional Data Center/open data site: https://data-nctcoggis.hub.arcgis.com,North Central Texas Council of Governments,TX,Dallas,Open Data,,3379,11,https://data-nctcoggis.hub.arcgis.com/datasets/NCTCOGGIS::existing-trails-and-on-street-bikeways/about,https://geospatial.nctcog.org/server/rest/services/Transportation_Dev/BikewayNetwork_Dev/MapServer/11,,
El Paso Bike Lanes,BikeLanes,bike,"Lines displaying existing and proposed bike routes in El Paso, Tx, including buffered, cycle, protected, shared, and two-way designations.",City of El Paso,TX,El Paso,Open Data,,1004,8,https://city-of-el-paso-open-data-coepgis.hub.arcgis.com/datasets/45caa98e63ca44afa665c86eec7fec9b_0/about,https://gis.elpasotexas.gov/dev/rest/services/Streets/BikeLanes/FeatureServer/0,,
San Antonio Sidewalks,Sidewalks,pedestrian,,City of San Antonio,TX,San Antonio,Open Data,2025,98584,15,https://opendata-cosagis.opendata.arcgis.com/datasets/CoSAGIS::sidewalks/about,https://services.arcgis.com/g1fRTDLeMgspWrYp/arcgis/rest/services/Sidewalks/FeatureServer/0,,
Houston Critical Bike Gaps,Critical Bike Gaps,bike,,City of Houston,TX,"Houston, TX",Open Data,2023,50,2,https://geohub.houstontx.gov/datasets/cohpwe::critical-bike-gaps/about,https://services1.arcgis.com/XpTq0H1nJ5DHgofs/arcgis/rest/services/Critical_Bike_Gaps/FeatureServer/0,,
USDOT National Bike Network,National_Bike_Route_Network,bike,,USDOT,USA,United States,Open data,2024,177055,35,https://data.transportation.gov/stories/s/National-Bicycle-Network/88zh-3rqb/,https://services.arcgis.com/xOi1kZaI0eWDREZv/arcgis/rest/services/National_Bicycle_Network/FeatureServer/0,,
Utah Ped Volumes,Estimated Annual Avg. Daily Pedestrian Volume,pedestrian,,UDOT,UT,Utah,Open Data,2020,1494,7,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services1.arcgis.com/WTeo28TIuKuIFAJu/arcgis/rest/services/Estimated_Ped_Vol_UT_WFL1/FeatureServer/25,,
Utah Trails and Pathways,TrailsAndPathways,both,"Last Update: 09/06/2022This trails map layer represents off-road recreational trail features and important road connections that augment Utahâ€™s recreational trail network. This map layer features many of Utahâ€™s recreational trails but is not yet complete. Currently, the trails information primary depicts trails used by hiking and mountain biker users. It began with map data purchased from a private entity (Orbital View, Inc), for which full rights were purchased by the GOED Office of Outdoor Recreation in July 2014. Since the original purchase, subsequent substantive updates have included: 2014 Revisions from National Park service; 2015 additions from Emery County; June 2016 additions from Cache County US Forest Service Geodata Hub (all forests except Sawtooth in NW Box Elder County), and Mountainland Association of Governments (Utah and Wasatch counties). Significant updates were made in 2018 as part of the multimodal project. These included pathways and off-road bike trails in the project area. Additional trails can be submitted to Utah UGRC for <removed> in this map layer.Note: Presently, the planned approach for on street bicycle lanes and routes is to incorporate them in the the statewide roads GIS layer using left and right side attributes. On street bike infrastructure is not expected to be represented in this map layer.More information about this layer can be found here: https://gis.utah.gov/data/recreation/trails/",UDOT,UT,Utah,Open Data,2025,47562,27,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/TrailsAndPathways/FeatureServer/0,,
Utah Active Transportation Facilities (Right),AT Facilities (Right),both,,UDOT,UT,Utah,Open Data,2025,16753,29,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services.arcgis.com/pA2nEVnB6tquxgOW/ArcGIS/rest/services/Existing_AT_Service_2021/FeatureServer/0,,
Utah Active Transportation Facilities (Left),AT Facilities (Left),both,,UDOT,UT,Utah,Open Data,2025,16655,29,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services.arcgis.com/pA2nEVnB6tquxgOW/ArcGIS/rest/services/Existing_AT_Service_2021/FeatureServer/1,,
Utah Planned Active Transportation Facilities State,AT Facilities Planned - State,both,,UDOT,UT,Utah,Open Data,2025,2791,34,https://uplan.maps.arcgis.com/apps/webappviewer/index.html?id=4fa51e538c29471594068d95161ff327,https://services.arcgis.com/pA2nEVnB6tquxgOW/arcgis/rest/services/Statewide_Bike_Plan/FeatureServer/0,,
